LIPID,Mock_0hr_M_1_001,Mock_0hr_M_2_087,Mock_0hr_M_3_045,Mock_0hr_M_4_101,Mock_0hr_M_5_109,Mock_3hr_M_1_035,Mock_3hr_M_2_003,Mock_3hr_M_3_074,Mock_3hr_M_4_013,Mock_3hr_M_5_100,Mock_7hr_M_1_018,Mock_7hr_M_2_038,Mock_7hr_M_3_086,Mock_7hr_M_4_119,Mock_7hr_M_5_076,Mock_12hr_M_1_110,Mock_12hr_M_2_002,Mock_12hr_M_3_075,Mock_12hr_M_4_054,Mock_12hr_M_5_090,Mock_18hr_M_1_082,Mock_18hr_M_2_037,Mock_18hr_M_3_043,Mock_18hr_M_4_115,Mock_18hr_M_5_007,Mock_24hr_M_1_069,Mock_24hr_M_2_081,Mock_24hr_M_3_060,Mock_24hr_M_4_004,Mock_24hr_M_5_111,FM_0hr_M_1_099,FM_0hr_M_2_073,FM_0hr_M_3_011,FM_0hr_M_4_027,FM_0hr_M_5_051,FM_3hr_M_1_107,FM_3hr_M_2_044,FM_3hr_M_3_080,FM_3hr_M_4_012,FM_3hr_M_5_049,FM_7hr_M_1_046,FM_7hr_M_2_070,FM_7hr_M_3_010,FM_7hr_M_4_088,FM_7hr_M_5_097,FM_12hr_M_1_031,FM_12hr_M_2_094,FM_12hr_M_3_068,FM_12hr_M_4_117,FM_12hr_M_5_028,FM_18hr_M_1_103,FM_18hr_M_2_093,FM_18hr_M_3_056,FM_18hr_M_4_019,FM_18hr_M_5_084,FM_24hr_M_1_114,FM_24hr_M_2_030,FM_24hr_M_3_091,FM_24hr_M_4_067,FM_24hr_M_5_041,AH1_0hr_M_1_089,AH1_0hr_M_2_039,AH1_0hr_M_3_098,AH1_0hr_M_4_006,AH1_0hr_M_5_014,AH1_3hr_M_1_022,AH1_3hr_M_2_059,AH1_3hr_M_3_083,AH1_3hr_M_5_116,AH1_7hr_M_1_020,AH1_7hr_M_2_061,AH1_7hr_M_3_120,AH1_7hr_M_4_047,AH1_7hr_M_5_050,AH1_12hr_M_1_029,AH1_12hr_M_2_036,AH1_12hr_M_3_085,AH1_12hr_M_4_108,AH1_12hr_M_5_066,AH1_18hr_M_1_025,AH1_18hr_M_2_077,AH1_18hr_M_3_113,AH1_18hr_M_4_040,AH1_18hr_M_5_064,AH1_24hr_M_1_017,AH1_24hr_M_2_092,AH1_24hr_M_3_063,AH1_24hr_M_4_112,AH1_24hr_M_5_057,691_0hr_M_1_062,691_0hr_M_2_015,691_0hr_M_3_095,691_0hr_M_4_032,691_0hr_M_5_058,691_3hr_M_1_023,691_3hr_M_2_021,691_3hr_M_3_118,691_3hr_M_4_034,691_3hr_M_5_065,691_7hr_M_1_016,691_7hr_M_2_055,691_7hr_M_3_078,691_7hr_M_4_026,691_7hr_M_5_102,691_12hr_M_1_052,691_12hr_M_2_008,691_12hr_M_3_005,691_12hr_M_4_072,691_12hr_M_5_105,691_18hr_M_1_042,691_18hr_M_2_096,691_18hr_M_3_053,691_18hr_M_4_009,691_18hr_M_5_079,691_24hr_M_1_104,691_24hr_M_2_071,691_24hr_M_3_033,691_24hr_M_4_024,691_24hr_M_5_048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PS(18:0/18:2)_CoE,18.90727761,18.37155491,18.69500836,18.10880345,18.8250016,18.43194006,18.9835596,18.19686496,18.71382262,18.86212745,17.76774709,18.43009328,18.99255042,18.69932163,18.57086612,18.67802797,18.637879,19.08848533,18.65878174,18.72136024,18.9310093,19.06090853,18.70345985,18.67039267,17.90391312,18.27910308,18.8618031,18.56517746,18.44468464,18.50320507,18.83390798,18.82656087,17.92467758,18.46194015,18.62547797,18.59437383,17.96897335,18.91124466,18.33621622,18.42373641,19.56786822,19.13431722,18.21341856,18.65828231,18.78002883,18.60477445,17.81321086,19.09253125,18.88632313,18.50286213,18.65197702,18.48190918,18.99167066,19.09131474,18.96829736,18.85437635,18.33911229,18.81709974,19.17931991,19.49714648,18.53537037,17.66701903,18.5687956,18.8449018,18.03033476,18.4547953,18.94357686,18.38316919,18.33193921,18.61991925,19.11722919,18.5611778,18.68686477,18.86136707,17.94097044,18.75528558,18.13207354,18.39771126,17.95133909,19.11692926,19.0267817,18.49638245,18.62616866,18.31061722,18.2874565,18.93967748,19.29948419,18.68971864,19.29534216,18.01803546,18.70109895,18.80213808,18.90974624,18.50420105,18.30990015,18.54093877,18.86812218,17.98943525,18.47605757,18.25486219,18.97639104,18.90495568,18.62434385,18.08384411,17.96374637,18.50193835,18.96675479,18.61729528,19.47811276,18.55217393,18.45656909,19.11567746,17.89315598,19.2865787,18.68971864,18.68877488,18.23508374,18.84423787,19.1791531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PS(18:0/20:3),16.05158896,16.49863565,16.46054056,16.39649762,16.86852308,15.86588732,16.24768931,15.1560596,16.24413022,16.16638948,14.76515068,15.14434737,16.16328998,16.15567254,16.19981257,15.45873298,15.97691598,16.16116039,16.19347433,15.71960579,15.36823643,15.89451338,15.27973524,16.02761923,14.80570703,14.4663517,15.44372233,14.82188566,15.63109762,15.11451622,16.52143038,15.80918339,15.31574372,16.59359806,16.52661789,15.63436672,14.92334058,16.46236582,16.50895393,16.32007325,16.45562267,16.10596061,15.38211728,15.26832579,16.25063379,16.19688499,14.603181,15.997447,16.12816781,15.82461207,15.04406501,14.97490667,16.01322813,15.0862873,15.92595821,15.75876664,14.94243717,14.99946159,15.75870043,15.69442483,16.81530093,14.83769813,16.88636332,15.94767631,15.62036883,16.45034206,16.37872506,15.34444274,15.55807917,16.37239948,15.53101663,15.11192708,16.30861444,16.18197519,14.64781739,16.16518938,15.10270186,16.03365664,15.47461453,16.07486005,15.96550529,15.07876813,15.13241987,15.70203367,15.04754462,15.50337936,15.76161221,15.44853136,15.38035853,15.34211128,15.90190575,16.53982153,15.6889166,16.64733702,15.55374361,16.46949609,16.41995709,15.36360444,16.05317919,14.88468736,16.28671236,15.71789151,16.21244903,14.92558319,14.92170185,16.19243513,15.94963264,15.16096717,16.35361244,15.88359687,15.67500815,15.90901999,15.54843984,15.28146242,15.66085244,14.79504199,14.81715018,14.87053042,15.88612973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PS(18:0/20:4),16.50749583,17.88751914,17.87028871,16.87101165,19.0473886,16.68861567,18.82450514,16.41839748,16.47896101,18.5777749,13.50878448,15.04267949,18.134647,17.96287243,17.18307767,16.36799987,16.96975528,17.84579692,16.96460532,16.28206486,14.70126873,17.49294668,15.2954303,16.66997223,14.91895728,14.99894852,17.44032147,15.93544098,16.59703792,14.82055992,18.93397752,15.8474127,16.15847776,18.647817,18.38010851,16.66739657,15.95441639,18.59336599,17.43901766,17.81625113,18.73267483,17.04288503,14.84655308,16.38184643,17.61081677,16.29845298,12.40579766,15.43394134,17.79796762,16.83070336,16.47153657,15.93213049,17.35445363,16.07301316,17.5700627,16.83901013,15.82593927,15.73355132,17.87428042,17.82118567,18.76306306,15.03587499,18.1844383,17.76823798,15.79950203,17.83393251,18.67583546,16.62725586,16.21832571,17.21389193,15.94939326,16.59632575,17.58820929,18.2112418,12.92897122,17.62285321,15.33240354,16.79879229,15.27828764,17.85101139,17.36162116,14.57536767,16.4836372,16.07925764,16.01653732,17.31870318,17.71420438,16.88457647,16.89922485,15.7982433,17.30830837,19.11041038,16.7945033,17.8879842,16.53507428,17.41491423,18.67520353,16.26252908,15.69339104,15.20905818,18.13639777,16.14876334,17.18678144,15.90272077,15.08158553,16.76813608,17.69135676,14.9023276,18.28259906,16.63377542,16.60439807,17.76769864,15.42879031,14.84828991,17.05765174,16.19293512,15.46426402,15.69174322,17.94403572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PS(18:0/22:6),16.72875543,17.0814232,17.62957519,16.38054346,17.5372693,16.11777746,17.1192082,14.99844425,16.7757736,17.2219977,14.49006136,16.05090282,16.82276266,16.89120857,16.30024918,14.63007812,16.03642386,16.85768401,16.68991308,15.16929254,15.17993612,16.79112028,14.96143822,16.13263896,14.54338453,14.00872537,16.15070086,14.53298057,15.79168894,14.68542509,17.45469187,16.22605852,16.18805186,16.99361213,17.25570816,16.28162752,15.15390392,17.28772247,16.78976453,16.93362706,17.23311562,16.95219431,15.44203186,15.86258048,16.94694104,15.10103897,14.44099772,16.31605339,16.85515742,16.49870454,14.22943121,14.61566916,16.20842618,15.53703351,16.46090662,16.20036046,13.90496332,14.93904415,16.32603522,16.47013694,17.471666,15.12265723,17.16358376,16.40625592,16.03917882,17.01150198,17.22480787,15.30771672,15.82665264,17.13655443,15.58658832,15.50543997,16.38690201,17.03904909,10.96338497,16.56672051,14.80202779,16.3262032,14.60649752,16.30610613,16.52817707,15.01371725,14.70449619,15.77440387,14.46580967,15.66085186,16.26289232,15.84378007,15.55124034,15.89654723,15.82757339,17.63520205,16.51462547,17.07411097,16.03794224,17.24925831,17.16998914,15.30741735,15.48329317,14.82278209,16.23067201,15.57893615,16.72626525,14.81402722,14.75805558,16.38504595,16.50573865,15.07545395,16.96484325,16.0653323,16.12682751,16.68060812,14.62147983,15.08889606,15.63130623,14.86901892,14.15273719,14.63479324,16.34264343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PS(18:1/18:1)_CoE,18.90727761,18.37155491,18.69500836,18.10880345,18.8250016,18.43194006,18.9835596,18.19686496,18.71382262,18.86212745,17.76774709,18.43009328,18.99255042,18.69932163,18.57086612,18.67802797,18.637879,19.08848533,18.65878174,18.72136024,18.9310093,19.06090853,18.70345985,18.67039267,17.90391312,17.75776137,18.8618031,18.17118451,18.44468464,18.50320507,18.83390798,18.82656087,17.92467758,18.46194015,18.62547797,18.59437383,17.96897335,18.91124466,18.33621622,18.42373641,19.56786822,19.13431722,18.21341856,18.65828231,18.78002883,18.60477445,17.36635043,19.09253125,18.88632313,18.50286213,18.65197702,18.48190918,18.99167066,19.09131474,18.96829736,18.85437635,18.23194702,18.81709974,19.17931991,19.49714648,18.53537037,17.66701903,18.5687956,18.8449018,18.03033476,18.4547953,18.94357686,18.38316919,18.33193921,18.61991925,19.11722919,18.5611778,18.68686477,18.86136707,17.64649498,18.75528558,18.13207354,18.39771126,17.95133909,19.11692926,19.0267817,18.49638245,18.62616866,18.31061722,18.2874565,18.93967748,19.29948419,18.68971864,19.29534216,18.01803546,18.70109895,18.80213808,18.90974624,18.50420105,18.30990015,18.54093877,18.86812218,17.98943525,18.47605757,18.25486219,18.97639104,18.90495568,18.62434385,18.08384411,17.96374637,18.50193835,18.96675479,18.61729528,19.47811276,18.55217393,18.45656909,19.11567746,17.89315598,19.2865787,18.68971864,18.68877488,17.84226473,18.84423787,19.1791531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PS(18:1/18:2),15.62205695,16.00579505,15.98180001,15.5640808,16.56214093,15.43124912,16.65415755,15.13352126,15.89630261,16.61777477,15.56462757,16.19325753,16.67664981,17.43605896,16.46902482,15.72365323,16.59482421,17.17659509,16.53850683,15.82656606,15.92926093,17.61720626,15.93127109,16.65127385,15.88385932,15.34362354,16.76484303,15.69645052,16.33018755,15.79465895,16.52606073,15.47937231,15.42014515,16.8537831,16.10998131,15.79916823,15.11751848,16.63385313,16.31437792,16.00304591,17.37889879,16.51764659,15.55767923,16.11255319,16.59539062,15.91538662,15.96091393,16.43741727,17.0427987,16.59943043,16.15954069,16.04637192,16.86997795,16.37602876,17.03804762,16.71539536,15.75761776,16.34163024,17.3794226,17.98450333,17.0082467,15.00678558,16.07345876,15.71359837,14.93427052,16.27910317,16.62477343,14.96155253,15.34882709,16.6771164,16.01541008,15.71944289,16.44153358,16.92638182,16.0134053,16.96880424,15.82210864,16.6489457,15.62893578,17.14774181,17.66266836,16.07178535,15.7428871,16.61183857,15.8999886,16.36156924,17.22102006,16.46229669,16.41828393,15.07123244,15.26630013,16.50798541,15.43209985,16.18602303,15.67706183,16.23340071,16.5762307,15.27156339,15.88075926,15.48950869,17.50349886,16.00408138,16.60034471,15.45346377,15.77878394,16.56330047,16.94883947,15.90163894,17.54878789,16.62154331,16.57272602,17.18980862,15.78859828,16.31941134,16.45564446,16.17395801,15.78494568,15.74527299,17.33774816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PS(18:1/20:1),15.99714898,16.14261524,15.98715895,16.4561007,15.93828553,15.34232421,15.61400154,15.08035694,15.88953488,15.28550334,15.67695865,15.28696905,15.28274798,16.58026526,16.02775957,15.04659169,15.97455614,15.02042234,15.87846772,15.42245447,15.31271353,16.23317896,15.06829806,16.35858759,15.14624266,14.51131097,14.50021371,14.6680421,15.74360858,14.5878004,15.21703433,15.93567652,15.65076369,16.80893157,15.73443563,15.07886739,15.03696942,15.01724096,16.16358278,15.53578136,16.12071734,15.5236926,16.76399121,15.38334823,16.06160587,15.33231693,14.68818645,16.02080306,15.22812067,15.9569397,15.47517845,15.56107176,15.83814266,15.48156122,14.73621161,16.11967173,14.37127043,15.00265483,15.27580065,15.88649298,16.9605031,14.4371703,15.98433442,15.19350876,16.36664069,16.13856042,15.32200759,15.24839345,15.19923918,16.05838969,15.11808614,15.01585318,15.46820349,15.37726524,15.13934151,15.45078078,14.98173224,16.46226869,14.68751518,15.42442808,15.93506152,14.75767545,14.82529791,16.39946607,15.157027,15.04471199,15.17164851,15.2725564,14.92395158,15.17563269,14.80062046,15.18203123,15.78243657,16.92860564,15.18153929,16.06756217,14.90197678,15.73026012,15.62979491,14.37585418,16.47525555,15.33502583,16.20854981,14.84794465,15.14086328,16.17964892,15.10619417,15.34940802,15.72493141,16.07132447,15.91722567,14.76844598,15.21775036,15.08178263,16.29145856,15.00822042,14.82372605,15.06492128,14.83368259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PS(18:1/20:4),15.36801551,15.71407606,15.59063606,15.30980492,16.18627132,14.43253528,15.74536382,14.16973723,15.00294651,15.65585643,13.85385278,14.4755649,15.21625859,15.66813089,14.93277838,14.2039458,14.65506066,15.1643444,14.65996014,14.17470658,14.2137974,15.47235643,14.09180585,14.80563701,13.80130279,13.6061054,14.85416544,13.852614,14.4213895,13.96735656,16.27058392,15.26040638,15.09556565,16.50255729,15.8555381,15.08296911,14.23060031,15.88856086,15.33271227,15.14994389,15.75262509,14.981972,14.07881519,14.71576016,15.06588113,14.14111444,14.14840577,14.59695309,15.19976434,14.78967256,14.13830132,14.31895281,14.97757566,14.78476948,15.17613937,15.03865192,14.08535808,14.84468796,15.65175675,16.00968512,16.56207998,14.54950519,15.92136882,15.6187785,14.82663,15.25703563,15.67060104,14.10650732,14.43838637,15.04817634,14.6812185,14.00518697,15.12055377,15.40073382,14.04831273,15.33737428,14.17129108,15.00382202,13.84999305,15.19825306,15.50393682,14.11310412,13.94311332,14.79782443,13.85797715,14.7685667,15.5796479,14.72810217,14.76785519,15.0557617,15.31431473,16.30011545,15.36486452,15.93431072,14.74529505,15.41547783,15.74964343,14.46039023,14.94250958,13.90104119,15.79444969,14.50108699,15.11629098,14.24265786,13.83012387,14.82608084,15.0937018,14.19170133,15.59880767,14.81615973,14.76524882,15.3860201,13.95257504,14.81635716,14.94798055,14.26846868,14.26810747,14.10486574,15.68477945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PS(20:0/20:5),14.89333903,15.86768109,16.28032945,14.39468173,16.63394171,14.42883778,16.28809098,13.84607145,14.9704066,16.10561137,12.07662148,13.46390496,15.90032494,16.36627698,15.64583359,14.51663548,14.91014553,15.76211365,14.82992944,13.99888287,12.98096467,15.99556285,12.98421795,14.41383723,12.47580256,12.7679344,14.90116323,14.15089688,14.76085076,13.64979113,16.23704886,14.44009119,13.97509301,16.79858916,15.7045961,14.54903863,13.98260903,16.12434175,15.12571974,15.77005595,16.72055563,15.13787467,12.35452071,13.54118335,15.28698351,14.47129556,12.9550728,13.97280635,15.86360474,15.21914993,13.82301256,13.50093737,15.43005728,14.54555532,15.18485684,14.35995737,13.08428655,12.93140267,15.52874357,15.7951844,16.99025323,11.5875372,16.52231921,14.99569132,13.5701446,15.90719442,16.02488079,13.76109754,13.22554728,15.2319196,14.44840959,14.02231366,15.50863553,15.85436363,12.94200967,15.97994002,13.4697397,14.50015732,13.2154788,15.62035156,15.87491311,12.83082697,13.7735768,14.24181619,13.30902829,14.79227751,15.37101998,14.67289085,14.28285851,13.78821554,14.7309994,16.32032538,14.33133957,15.3828361,14.12222126,15.56480879,16.10167424,13.65804927,14.13971433,14.11852378,16.37432581,14.05857701,15.06560399,14.13198866,13.75133361,14.82776076,15.68464265,13.69883905,16.19276209,14.31350817,14.4716646,15.41128648,12.90078982,14.02736288,15.11834914,13.6037835,12.21832129,13.69214452,15.12789961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PS(22:4/22:4),14.82555764,14.22069886,14.41292734,14.03339615,14.07349664,14.37249456,13.85903503,13.6746157,14.23765479,14.01264452,14.52698555,14.0162323,14.43272306,14.59680372,14.71087786,13.90710195,14.14389762,13.89343775,14.16599602,14.2555843,14.26410545,14.23142284,13.97113924,14.3721486,14.03744208,12.78773572,12.79886248,12.71791145,13.45122942,12.23462409,14.26079981,14.69416763,14.4955297,14.90051241,14.77996378,14.41515066,14.51969143,13.90147168,14.19261898,14.51395974,14.44727518,14.14148865,14.13606366,14.04907991,14.31586982,14.42489122,14.35119463,13.98569009,13.84451045,14.20958838,14.27108562,14.23715429,14.76119272,14.80402488,14.26629047,13.74830538,13.11461882,13.00295214,13.31060837,13.64101926,14.56768308,14.01706156,14.72812841,14.03127574,14.04435499,14.36362696,14.12624357,13.87991246,13.92797394,14.94181586,14.50798952,14.87096717,14.70540179,14.26941805,14.5717287,14.0534981,13.94842146,14.55117352,13.83072966,14.49427113,14.37827287,15.00587519,14.36894321,14.21417253,13.37417217,14.2381481,12.77146258,14.11477763,13.42905925,14.5115279,14.41789259,14.24303743,15.00873777,14.48618777,14.15029496,14.43796441,13.99156742,13.66576564,13.48389136,14.87133299,14.59189949,14.41019376,14.56676167,13.98229975,13.80834753,14.0732475,14.16749897,14.3355817,14.07918612,14.1102767,14.50626415,13.8617127,13.92549693,14.36261167,13.70651891,12.57565349,13.11529598,12.75551843,13.86603632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SM(d18:1/14:0),21.195825,20.70703493,20.54757638,20.16642996,20.40476325,20.31785937,20.36907008,20.46433762,20.13852356,20.06041864,19.75539075,20.12453569,19.6487446,20.50717953,20.18015849,19.90442106,20.16156115,19.62462189,20.55712136,20.42365498,20.00975186,20.3533653,19.66711708,20.11023924,19.57697875,19.11811079,19.2730417,19.49209576,20.12131397,19.48739708,19.86188772,20.82987696,20.28568756,20.87034343,20.81949689,21.44695244,20.21008046,20.04511564,20.61197556,20.56904315,20.58693478,20.18176799,19.92925391,20.22056166,20.57409329,20.0629874,19.49133555,19.74850515,19.3560475,20.28418275,19.7331173,19.83019296,20.55831203,20.5810486,19.52951849,20.19548181,19.61251432,19.63087191,19.62284201,20.62503255,20.66812452,19.91432228,20.65595369,20.49444393,20.09697577,20.64772219,20.04870734,20.20286092,20.23317558,20.67011072,20.55721425,20.05067656,20.30404294,19.79401144,19.410002,19.29338976,19.8407311,20.30723503,19.6189987,19.2912364,20.16479566,19.9678396,19.79849998,19.82525877,19.52977566,20.36907919,19.12559247,20.482832,20.41471668,20.10901055,20.532263,20.09478453,20.97859848,21.00045149,20.63464296,20.82885709,19.97187609,19.98443651,20.082367,19.89310216,20.26497868,20.24000677,20.46428539,20.05872831,19.81526608,20.3842741,19.33057823,20.05845768,20.13974666,19.99965006,19.9691581,19.69271206,19.63497485,20.18126601,19.8253031,19.30939737,19.39131448,19.20078187,19.61770571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SM(d18:1/15:0),20.36971414,19.25458947,19.08229797,19.60414176,19.54226288,19.81714388,19.311231,19.48211318,19.59678922,19.34493856,18.93794612,19.43930947,18.97010784,18.82702179,18.72238019,19.37151885,18.68971864,18.85489659,18.84045405,19.38221962,19.24174185,18.68971864,19.09713264,18.49477097,19.00339654,18.68971864,18.48264524,19.1067371,18.3712682,18.80587555,19.35662459,19.87595582,19.69551282,19.3182578,19.39968441,20.34941302,19.70941495,19.34109141,19.13881105,19.20707929,19.12915082,19.34888157,19.38333234,19.43687958,19.26985904,19.47071454,19.14626156,19.15239509,18.80284347,18.70366342,19.30858569,19.16056624,18.88587459,19.55159655,18.85686683,18.55669368,18.90302249,19.18755062,18.68971864,18.7407531,19.09504058,19.45996155,19.10672802,19.90974422,19.59469575,19.25914567,19.54943381,19.63291973,19.56698515,18.92366657,19.71147454,19.38723969,18.89965833,19.1120316,18.97999454,18.60178219,19.3451953,18.57357073,19.19056639,18.68971864,18.55399339,19.27511699,19.23086599,18.3577527,19.12017681,18.60963241,18.65449944,18.62570529,19.58389862,19.58335375,19.89405454,19.65189913,20.08669989,19.4191005,19.77448394,19.25438842,19.32372907,19.34171911,19.64943761,19.12439685,18.89362332,19.80273265,19.04017544,19.47432291,19.33706469,18.78318642,18.74151281,19.54523732,18.94836076,18.5915079,18.45147898,18.9912874,18.98305552,19.52133725,18.56658867,19.07446401,18.89473663,18.83380672,18.94512669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SM(d18:1/16:0),23.12862714,23.34782055,23.35034094,23.30349023,22.95003539,23.14365091,22.65627955,23.01846256,23.18306813,22.82216079,23.10780696,23.28036723,22.79113279,22.50445272,23.25922408,22.84959765,23.15604478,22.42426835,22.98588422,22.71985284,22.95898063,22.33304414,23.12126116,22.97712063,23.06006366,22.60051517,21.95005338,22.85717736,22.78034409,22.27257787,22.90439921,23.42017934,23.19161063,23.10244036,23.31180864,23.14682477,23.00203211,22.59147057,23.4325735,22.9723483,22.5458509,23.11772949,23.44623651,22.98490853,23.28065229,22.91137839,23.23617034,23.04382253,22.69015507,23.12706393,22.78684583,22.91740002,22.97571126,22.9187231,22.27191414,22.92469603,22.69076373,22.54443894,22.40948244,22.04777976,22.93938317,23.42249702,23.51201335,23.3698387,23.64083683,23.37307903,22.7712779,23.0147723,23.15660816,23.26361002,23.02580056,22.85235995,23.08030979,22.88206669,23.49117978,22.84925406,22.97533367,23.45389866,22.76128633,22.81951267,22.44569267,23.16789116,22.72364949,23.07523399,22.38354646,22.49038031,22.32250176,22.59807378,22.60007094,23.37210657,23.51896767,23.12422637,23.28778012,23.6651085,23.08842957,23.40467297,22.76296249,23.15080625,23.23399802,22.91711452,22.74430448,23.09768291,23.2545658,22.90245409,22.98765717,23.22688575,22.69789653,23.07376713,22.6632217,22.96991354,23.02718004,22.55983858,22.84851731,22.7731327,22.74058232,22.77734821,22.91320085,22.62515182,22.65005514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SM(d18:1/17:0),18.40141781,16.84090786,17.49839782,17.57043198,17.8079852,17.92964517,17.20735307,17.74567305,17.77219473,17.85552066,16.88478892,17.42573415,17.11286019,16.38137487,16.58989271,17.39256481,16.64103983,16.95272767,17.32556701,17.45333953,17.25557024,16.14674528,17.24266265,16.45355877,17.0483469,16.35720845,16.47181347,16.90820657,16.38975784,16.79947212,17.33189672,18.09631647,17.52492426,16.67077734,18.00658791,18.40183449,17.5340313,17.3784518,16.85691074,17.26915445,17.66672084,17.6090581,17.51745666,17.74054305,17.40080814,17.66701883,17.07981572,17.54912436,16.93051815,16.93993151,17.18760232,17.24178475,17.27053305,17.68804175,17.03167498,16.765781,17.14381111,17.25839626,16.71052614,16.3504649,16.84336058,17.43790101,17.30663951,18.00736148,17.83004312,17.34176984,17.51386554,17.62877444,17.45041008,17.03551726,17.81672009,17.40660844,16.91642783,17.00255912,17.05822697,16.82794355,16.7283279,16.98155262,16.93579028,16.81015299,16.15648073,17.5467635,17.13242866,16.23120011,17.12757069,17.31968997,16.65528783,16.98047337,17.96592828,17.43192893,17.78277779,17.56221024,18.22753005,17.38858617,17.89948294,17.38058044,17.16480227,17.6280475,17.77236581,17.39554263,16.61595993,17.89938034,17.19717682,17.22263236,17.07996551,16.71546737,16.91213002,17.58472681,16.99475595,16.49683038,16.41157539,17.05560468,16.9929074,17.84365049,16.62455653,17.25492554,16.81082598,17.14279956,16.8753129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
